material_id,pretty_formula
mp-849086,CuS2
mp-849092,NiS2
mp-850009,FeS2
mp-850016,Fe3S4
mp-850032,Fe3S4
mp-850068,NiS2
mp-850086,Ni3S2
mp-850099,CuS2
mp-850131,NiS2
mp-850249,Fe4S5
mp-851357,Fe2S
mp-862373,ScS2
mp-862796,Pu2S3
mp-862857,PaS3
mp-862869,Pa2S3
mp-8850,Dy2S3
mp-9027,TiS2
mp-9252,HgS
mp-9323,Tb2S3
mp-943,Co3S4
mp-947,Au2S
mp-9481,TcS2
mp-952567,Fe2S3
mp-9561,VS2
mp-964,Cr3S4
mp-966,NbS2
mp-974355,Mn2S3
mp-974381,Rh2S3
mp-975439,Mn3S
mp-976920,Ni9S8
mp-977351,Ac2S3
mp-978993,Th3S
mp-9813,WS2
mp-982385,Np3S5
mp-984597,Au3S
mp-984598,AuS
mp-985829,HfS2
mp-9920,TiS3
mp-9921,ZrS3
mp-9922,HfS3
mp-9946,ZnS
mp-995122,NbS2
mvc-11047,MnS2
mvc-11070,FeS2
mvc-11234,FeS2
mvc-11309,Cr2S5
mvc-11780,MoS2
mvc-13442,Cu2S
mvc-13558,FeS2
mvc-14769,CrS2
mvc-15,CrS2
mp-1006886,CeS
mp-1008650,CeSe
mp-1008682,TiS2
mp-1008928,EuSe
mp-1008999,LaSe
mp-1011374,CeSe2
mp-1011375,CeSe2
mp-1011377,CeSe2
mp-1018075,FeSe
mp-1018706,GdS2
mp-1018722,HgSe
mp-10188,Fe3S4
mp-1018817,NdSe2
mp-1018940,PrSe2
mp-1019253,SmSe2
mp-1019276,TaSe2
mp-1021484,CeSe2
mp-1021499,Cu2Se
mp-1021511,CdS
mp-10228,NbSe2
mp-1023128,CuS
mp-1023924,MoS2
mp-1023925,WS2
mp-1023933,WSe2
mp-1023936,WSe2
mp-1023940,MoSe2
mp-1025572,WSe2
mp-1025799,MoSe2
mp-1025874,MoS2
mp-1027692,MoSe2
mp-1055,CdSe
mp-1061769,CrSe2
mp-1062030,TiS2
mp-10629,TbS2
mp-10643,SmSe
mp-10645,TbSe
mp-10646,ThSe
mp-1065583,LaSe
mp-1066497,FeSe
mp-10678,AuSe
mp-1070,CdSe
mp-1071078,NiSe2
mp-1072113,NbSe2
mp-1072244,EuS
mp-1072712,NbS2
mp-1077021,TiS2
mp-1077525,U2S
mp-1077978,Ti3Se4
mp-1078538,FeSe
mp-1078815,NbSe4
mp-1078945,FeSe
mp-1079673,ThSe3
mp-1079888,TiSe
mp-1080250,CeSe2
mp-1080255,CeSe2
mp-1080257,CeSe2
mp-1080261,CeSe2
mp-1080262,CeSe2
mp-1080263,CeSe2
mp-1080264,CeSe2
mp-1080266,CeSe2
mp-1080267,CeSe2
mp-1080273,CeSe2
mp-1080274,CeSe2
mp-1080278,CeSe2
mp-1080280,CeSe2
mp-1080281,CeSe2
mp-1080288,CeSe2
mp-1080291,CeSe2
mp-1080294,CeSe2
mp-1080295,CeSe2
mp-1080296,CeSe2
mp-1080299,CeSe2
mp-1080300,CeSe2
mp-1080302,CeSe2
mp-1080303,CeSe2
mp-1080304,CeSe2
mp-1080305,CeSe2
mp-1080306,CeSe2
mp-1080307,CeSe2
mp-1080312,CeSe2
mp-1080316,CeSe2
mp-1080317,CeSe2
mp-1080319,CeSe2
mp-1080320,CeSe2
mp-1080321,CeSe2
mp-1080323,CeSe2
mp-1080325,CeSe2
mp-1080328,CeSe2
mp-1080329,CeSe2
mp-1080330,CeSe2
mp-1080334,CeSe2
mp-1080335,CeSe2
mp-1080337,CeSe2
mp-1080338,CeSe2
mp-1080340,CeSe2
mp-1080341,CeSe2
mp-1080344,CeSe2
mp-1080347,CeSe2
mp-1080350,CeSe2
mp-1080351,CeSe2
mp-1080353,CeSe2
mp-1080354,CeSe2
mp-1080357,CeSe2
mp-1080358,CeSe2
mp-1080359,CeSe2
mp-1080360,CeSe2
mp-1080364,CeSe2
mp-1080365,CeSe2
mp-1080366,CeSe2
mp-1080369,CeSe2
mp-1080370,CeSe2
mp-1080371,CeSe2
mp-1080372,CeSe2
mp-1080374,CeSe2
mp-1080375,CeSe2
mp-1080628,CeSe2
mp-1080630,CeSe2
mp-1080631,CeSe2
mp-1080633,CeSe2
mp-1080634,CeSe2
mp-1080635,CeSe2
mp-1080637,CeSe2
mp-1080638,CeSe2
mp-1080639,CeSe2
mp-1080640,CeSe2
mp-1080641,CeSe2
mp-1080852,CeSe2
mp-1080853,CeSe2
mp-1080854,CeSe2
mp-1080856,CeSe2
mp-1080858,CeSe2
mp-1080860,CeSe2
mp-1080864,CeSe2
mp-1080865,CeSe2
mp-1080866,CeSe2
mp-1081,V3S4
mp-1084851,CeSe2
mp-1087497,V5Se4
mp-1087550,CeSe2
mp-1087552,CeSe2
mp-1087553,CeSe2
mp-1087555,CeSe2
mp-1090,FeSe
mp-1094152,CeSe2
mp-1094153,CeSe2
mp-1095184,NpSe3
mp-1095493,CdSe2
mp-1096430,CeSe2
mp-1096432,CeSe2
mp-1096791,CeSe2
mp-1097707,Cu2Se
mp-1098702,CeSe2
mp-1098703,CeSe2
mp-1098705,CeSe2
mp-1098707,CeSe2
mp-1099574,CeSe2
mp-1099575,CeSe2
mp-1101086,AgSe5
mp-1101826,Ir3S8
mp-1102379,ReSe2
mp-1102515,ZnSe2
mp-1103177,FeSe2
mp-1103226,TbS2
mp-1103625,Np2Se5
mp-1103738,Eu3S4
mp-1103820,Zr3S4
mp-1104327,Cr5Se8
mp-1105666,Rh2Se3
mp-1105821,Y2Se3
mp-1120759,PdSe2
mp-1120781,Ni3Se4
mp-11324,TaSe2
mp-1147712,CuS2
mp-1147746,CoS
mp-1161,LaSe
mp-1173070,Cu9Se5
mp-11765,Ti5Se4
mp-1178763,VS2
mp-1180046,NiS2
mp-1181961,Cr5S8
mp-1183234,AcSe3
mp-1183249,Ag3Se
mp-1183665,Cd3Se
mp-1183684,Co3Se
mp-1183728,Co2S3
mp-1184547,Hf3Se
mp-1184783,Ir3Se
mp-1186219,Nb3Se
mp-1186234,NbSe2
mp-1186370,Ni3Se
mp-1186803,PuS3
mp-1187074,Th3S
mp-1187404,Te3Se
mp-1188055,Zr3Se
mp-1188175,Gd2Se3
mp-1189525,U3Se5
mp-1189540,Eu2Se3
mp-1190,ZnSe
mp-1190410,PrSe2
mp-1191680,TaSe3
mp-1192175,RhSe2
mp-1193856,Zr21S8
mp-1197019,Np3Se5
mp-1198191,Ti45Se16
mp-1200568,ZnS
mp-1202023,ZnS
mp-1206272,TaSe6
mp-1206743,HfS
mp-1207893,V5Se8
mp-1208273,Ti2Se3
mp-1208313,TbSe3
mp-1209671,Pu3Se4
mp-1209822,Nd4S7
mp-1210280,NbSe4
mp-1211453,MoS6
mp-12117,PrS2
mp-1215280,ZrSe
mp-1215400,Zr3Se4
mp-1215426,Zr3Se2
mp-1215598,Zr2Se3
mp-1217121,Ti3S4
mp-1217269,TeSe2
mp-1217322,TeSe
mp-1217494,U11Se20
mp-1218017,Ta5S8
mp-1218055,Ta7S12
mp-1219395,Sc2Se3
mp-1220681,Nb2Se3
mp-1223154,La4S7
mp-1226358,Cr7Se10
mp-1226578,Cr19S30
mp-1226930,Cr19S30
mp-1229090,Ag2S
mp-1232181,Pm2Se3
mp-1232184,Pm2Se3
mp-1232213,YSe2
mp-1232214,YSe2
mp-1232221,PmSe2
mp-1232230,EuSe2
mp-1232234,PmSe
mp-1232235,PmS
mp-1232236,PmSe
mp-1232276,PmS2
mp-1232344,ReS2
mp-1237669,CeSe2
mp-1239169,MoS3
mp-1244969,ZnS
mp-1245070,ZnS
mp-1245199,ZnS
mp-1245220,ZnS
mp-1245238,ZnS
mp-1245246,ZnS
mp-1245248,ZnS
mp-1245296,ZnS
mp-1245316,ZnS
mp-1245319,ZnS
mp-1247785,CeSe2
mp-1247874,Ag2Se
mp-1320,CeSe2
mp-1344,Sm3Se4
mp-13567,CeS2
mp-1407,Rh3Se8
mp-1455,MnS2
mp-14613,Pr10Se19
mp-14650,Nd10Se19
mp-15257,Tb2Se3
mp-1547,NiS
mp-15622,HfSe3
mp-15670,Y5S7
mp-15837,Nb5Se4
mp-1610,TbS
mp-1634,MoSe2
mp-16366,Cu2Se
mp-1674,PrSe
mp-1748,NdS
mp-1922,RuSe2
mp-2000,CuSe2
mp-20077,USe2
mp-20163,Th2S3
mp-20215,LaS
mp-20250,PdS
mp-2038,Sm3S4
mp-20456,Co3Se4
mp-2056,Ni3Se2
mp-2065,MnS
mp-20683,Cu3Se2
mp-21021,Mo3Se4
mp-21165,PdSe
mp-21321,MnSe2
mp-2143,USe
mp-21688,Fe7S8
mp-21765,Pd17Se15
mp-2183,ThSe
mp-2194,TiSe2
mp-21991,Rh17S15
mp-224,WS2
mp-22536,U3S5
mp-22642,Zr2Se
mp-22700,V3Se4
mp-22745,Co9Se8
mp-2280,CuSe2
mp-2288,PuSe
mp-2293,MnSe
mp-2392,Th2Se5
mp-2480,OsSe2
mp-2559,SeS
mp-2562,MnS
mp-2563,CeSe
mp-2637,YSe
mp-2656,Nd3S4
mp-2691,CdSe
mp-2780,Fe3Se4
mp-2793,AuSe
mp-28105,Ni17S18
mp-28256,V2Se9
mp-2832,Cr2Se3
mp-288,PtS
mp-28910,CrS2
mp-28963,Ag8S
mp-29131,VSe
mp-29767,Pt5Se4
mp-29832,Sm10Se19
mp-299,Mo9Se11
mp-31257,Mo15S19
mp-32594,Sm2Se3
mp-32630,Ti19Se20
mp-32633,Dy6Se11
mp-32672,Pu2Se3
mp-32689,Pr2Se3
mp-32727,Y3Se4
mp-32758,Ag2Se
mp-32798,La2Se3
mp-32857,Cu13Se8
mp-32861,Rh3Se8
mp-380,ZnSe
mp-38511,Ag2S
mp-488,CuSe
mp-491,La3Se4
mp-500,TaSe2
mp-503,ThS
mp-504783,Np2S3
mp-505531,FeS
mp-510285,Ti11Se4
mp-510404,GdSe
mp-540702,Fe7Se8
mp-542495,TaSe2
mp-543011,ZnS
mp-545,TiS
mp-554004,ZnS
mp-554405,ZnS
mp-554608,ZnS
mp-554889,ZnS
mp-554999,ZnS
mp-555096,PrS2
mp-555293,NbS2
mp-555381,ZnS
mp-555543,ZnS
mp-555599,CuS
mp-555782,ZnS
mp-556105,ZnS
mp-556395,ZnS
mp-556543,ZnS
mp-556576,ZnS
mp-556716,ZnS
mp-556815,ZnS
mp-557054,ZnS
mp-557062,ZnS
mp-557418,ZnS
mp-557579,LaS
mp-558229,La10S19
mp-560908,V3S4
mp-561,Nb3Se4
mp-561286,ZnS
mp-567370,Ce3Se4
mp-567724,TaSe2
mp-568098,Nd3Se4
mp-568347,NbSe2
mp-568488,Mo15Se19
mp-568789,TiSe
mp-568808,Tb3Se4
mp-568889,Ag2Se
mp-568936,Ag2Se
mp-568971,Ag2Se
mp-569240,Fe3Se4
mp-569668,VSe
mp-569679,ZnSe
mp-570170,Mo15Se19
mp-570181,Np3Se4
mp-570205,PrSe2
mp-570325,AuSe
mp-570707,NdSe2
mp-571270,NbSe2
mp-571400,Dy3Se4
mp-573,Ni3Se4
mp-580226,CuSe
mp-581601,ZnS
mp-582060,CuSe
mp-604908,CoSe
mp-608146,Gd2S3
mp-616476,FeS
mp-620032,Ti2Se
mp-627,NpSe
mp-637232,TaSe2
mp-638048,Mo9Se11
mp-642890,LaSe
mp-643063,NbSe2
mp-662,NiSe
mp-669684,U3Se5
mp-672271,NbSe2
mp-672292,Gd3Se4
mp-672690,U2S3
mp-673255,Cu9Se8
mp-673636,Sm3S4
mp-673637,Ti9S10
mp-673644,Tb2S3
mp-673655,Cu9Se5
mp-673656,Y2Se3
mp-673692,Nd10Se19
mp-675278,Cu11S16
mp-679962,Ti8Se3
mp-680087,ZnS
mp-680184,TaSe2
mp-680576,Ti2Se
mp-684525,Cu2Se
mp-684606,Cu27Se20
mp-684619,Pr27Se40
mp-684620,Nb25S48
mp-684690,Sc2Se3
mp-684726,La39Se56
mp-684732,Co2S3
mp-684800,Rh9Se20
mp-684829,Co27Se32
mp-684922,Np2Se3
mp-684923,Cu25Se26
mp-684959,Sm5Se9
mp-684963,Fe3Se4
mp-684964,Cu11S20
mp-684970,Cu19Se11
mp-685107,Cu9Se5
mp-685126,Cu39S20
mp-685129,Co17Se20
mp-685220,U11Se20
mp-7132,DySe
mp-7368,Dy2Se3
mp-743270,Mo15Se19
mp-754954,Ag2Se
mp-7597,NbSe2
mp-760,FeSe2
mp-7926,TaSe2
mp-814,DySe
mp-820,HgSe
mp-849065,VS
mp-849075,NiS2
mp-849084,Cr5S8
mp-849098,VS2
mp-850049,CoS2
mp-850083,Fe4S5
mp-850411,Fe7S8
mp-861979,Ir2S3
mp-862867,PaSe3
mp-867180,Pm2S3
mp-867800,AcSe3
mp-8866,La10Se19
mp-8954,TaSe2
mp-9227,Ti3Se4
mp-952967,Fe7Se3
mp-957,HgSe
mp-972,MnSe
mp-973676,HgS
mp-975653,PrS3
mp-976249,NdS3
mp-976809,Ni3S
mp-976881,Ni3S
mp-983,RhSe2
mp-984712,Cr3Se
mp-985831,HfSe2
mp-9888,Ir3Se8
mp-990083,MoS2
mp-9983,Ta2Se3
mp-999540,MnSe
mvc-1,NiS2
mvc-11233,CoS2
mvc-11241,VS2
mvc-11244,CoS2
mvc-11411,FeS2
mvc-11598,NiS2
mvc-11754,V2S5
mvc-12727,VS2
mvc-13180,CrSe2
mvc-13555,CrS2
mvc-13742,VS2
mvc-14047,MnS2
mvc-34,MnS2
mvc-7052,MoS2
mvc-7053,WS2
mvc-7054,TiS2
mvc-7055,CrS2
mvc-7056,NiS2
mvc-7057,CoS2
mp-10026,ScTe
mp-10027,TiSe
mp-1008471,CdTe
mp-1008626,VTe2
mp-1008752,CeTe
mp-1008926,CrTe
mp-1009008,LaTe
mp-1009079,CrTe
mp-1009222,MnTe
mp-1009581,CrSe2
mp-1009641,CoTe2
mp-1011376,CeSe2
mp-1018107,ZrTe2
mp-1018150,NbTe2
mp-1018665,CeSe2
mp-1018679,DyTe2
mp-1018683,DySe2
mp-10187,TeIr
mp-1018707,GdSe2
mp-1018807,MoSe2
mp-1018829,NpTe2
mp-1018954,PuSe2
mp-1019091,LaSe2
mp-1019107,PuTe2
mp-1019266,SmTe2
mp-1019324,TbTe2
mp-10204,MnSe
mp-1022717,CeSe2
mp-1023926,Te2W
mp-1023934,MoSe2
mp-1023935,Te2Mo
mp-1023938,Te2Mo
mp-1023942,Te2W
mp-1025077,TbSe2
mp-1025159,Te4Rh3
mp-1025418,LaTe3
mp-1025459,HfTe3
mp-1025472,NpTe3
mp-1025482,DyTe3
mp-1025522,ThTe3
mp-1025573,Te2W
mp-1025576,Te2Mo
mp-10256,VTe
mp-10264,NiTe
mp-1028,V3Te4
mp-1028698,WSe2
mp-1030319,Te2Mo
mp-1040452,CeSe2
mp-1066480,CdTe
mp-1071269,HgTe
mp-1071319,ZnTe
mp-10761,FeTe
mp-1076964,GdTe2
mp-1077365,YTe2
mp-1077948,Te4Pt3
mp-1078012,Cr3Te4
mp-1078612,LaTe3
mp-1078669,NpTe3
mp-1079443,MnTe
mp-1079818,CrTe
mp-1079832,ScTe
mp-1080073,MnTe
mp-1080248,CeSe2
mp-1080249,CeSe2
mp-1080251,CeSe2
mp-1080252,CeSe2
mp-1080256,CeSe2
mp-1080259,CeSe2
mp-1080260,CeSe2
mp-1080265,CeSe2
mp-1080268,CeSe2
mp-1080269,CeSe2
mp-1080270,CeSe2
mp-1080272,CeSe2
mp-1080275,CeSe2
mp-1080277,CeSe2
mp-1080279,CeSe2
mp-1080292,CeSe2
mp-1080293,CeSe2
mp-1080297,CeSe2
mp-1080298,CeSe2
mp-1080301,CeSe2
mp-1080308,CeSe2
mp-1080309,CeSe2
mp-1080310,CeSe2
mp-1080311,CeSe2
mp-1080313,CeSe2
mp-1080314,CeSe2
mp-1080324,CeSe2
mp-1080326,CeSe2
mp-1080327,CeSe2
mp-1080332,CeSe2
mp-1080345,CeSe2
mp-1080348,CeSe2
mp-1080352,CeSe2
mp-1080355,CeSe2
mp-1080356,CeSe2
mp-1080361,CeSe2
mp-1080362,CeSe2
mp-1080363,CeSe2
mp-1080367,CeSe2
mp-1080373,CeSe2
mp-1080629,CeSe2
mp-1080632,CeSe2
mp-1080636,CeSe2
mp-1080642,CeSe2
mp-1080793,PuTe3
mp-1080851,CeSe2
mp-1080855,CeSe2
mp-1080857,CeSe2
mp-1080859,CeSe2
mp-1080863,CeSe2
mp-1080867,CeSe2
mp-10844,Te2Ir
mp-10845,Te2Ir
mp-1084847,TbTe3
mp-1086673,DyTe3
mp-1087241,CeSe2
mp-1087242,CeSe2
mp-1087554,CeSe2
mp-1094151,CeSe2
mp-1096431,CeSe2
mp-1098704,CeSe2
mp-1098706,CeSe2
mp-1098708,CeSe2
mp-1100189,CeSe2
mp-1100266,CeSe2
mp-1101145,Te16Rh15
mp-1102324,NiTe2
mp-1102559,NbSe2
mp-1103188,Zr3Te
mp-1103235,CuTe2
mp-1103359,CoTe2
mp-1103512,Te2Ir
mp-1103932,Dy2Te5
mp-1104212,La2Te5
mp-1104233,Ce2Te5
mp-1104504,Nb3Te4
mp-1104531,Sm2Te5
mp-1105684,Tb2Te3
mp-1105966,Gd2Te3
mp-1115,PtSe2
mp-1119,Nd2Te5
mp-1120746,Te2Mo
